ioc,weight,ioc_class
#YellowVests,3,europe_influence
#VoteDemsOut,3,support_republican_campaign
#TXSen,3,support_republican_campaign
#sappermartin,2,propagandist_tools
#HarleyQuinnExpress,2,propagandist_tools
#TheKat,2,propagandist_tools
#BobsTrumpTrain,2,propagandist_tools
#RedFriday,2,propagandist_tools
#MelsMAGAMobile,2,propagandist_tools
#STONECOLDLOSER,2,propagandist_tools
#JordansViewExpress,2,propagandist_tools
#COSProject,2,alt_right_media
#restart_opposition,5,malicious_media
#FakeNews.,3,discredit_media
#BuildTheWallAndCrimeWillFall,1,right_social_issues
#VoterID,1,right_social_issues
#BuildtheWall,1,right_social_issues
#BorderPatrol,1,right_social_issues
#DemocratsAreDestroyingAmerica,3,discredit_left
#CreepyJoeBiden,3,discredit_left
#CreepyJoe,3,discredit_left
#Demonrats,3,discredit_left
#SocialismKills,3,discredit_left
#CriminalCongress2019,3,discredit_left
#SocialismSucks,3,discredit_left
#ThesePeopleAreSick,3,discredit_left
#EnemyOfThePeople,3,discredit_left
#Trump2020,2,promote_trump
#Trump,2,promote_trump
#KAG,2,promote_trump
#maga,2,promote_trump
#AmericaFirst,2,promote_trump
#KAG2020,2,promote_trump
#Trump2020Landslide,2,promote_trump
#TRUMP2020,2,promote_trump
#MAGA2020,2,promote_trump
#ExtremeMAGAShoutOut,2,promote_trump
#DrainTheSwamp,2,promote_trump
#TrumpRally,2,promote_trump
#KAG45,2,promote_trump
#MAGAveteran,2,promote_trump
#TornadoTrump,2,promote_trump
#NoCollusion,2,promote_trump
#HappyBirthdayMrPresident,2,promote_trump
#AmericaFIRST,2,promote_trump
#DrainTheDeepState,2,promote_trump
#MakeAmericaGreatAgain,2,promote_trump
#SupportOurPresident,2,promote_trump
#Trumpville,2,promote_trump
#DrainTheDeepStateSwamp,2,promote_trump
#MAGA45,2,promote_trump
"#MAGA,",2,promote_trump
#NoCollusionNoObstruction,2,promote_trump
#PromisesMadePromisesKept,2,promote_trump
#trump2020,2,promote_trump
#DECLAS,5,radical_conspiracy
#TWGRP,5,radical_conspiracy
#PatriotsUnited,5,radical_conspiracy
#ReleaseTheMemo,5,radical_conspiracy
#RedAwaken,5,radical_conspiracy
#WAKEUPAMERICA,5,radical_conspiracy
#NXIVM,5,radical_conspiracy
